Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Nidalee Nidalee,11,66,100%,8,3,73%,2.8,3.5,39:47:00,5,400,382,7.5,501,525,2016
Syndra Syndra,16,59,97%,10,6,63%,3.7,4,37:12:00,9.1,673,419,18.6,591,411,2016
Olaf Olaf,36,23,77%,18,18,50%,3.6,3.9,38:28:00,4.2,320,344,4.4,-8,22,2016
Karma Karma,42,16,75%,19,23,45%,3,3.8,38:23:00,1.6,211,268,-3.7,-103,-120,2016
Jhin Jhin,39,12,66%,24,15,62%,5.2,4.3,39:22:00,8.2,632,398,-2.2,23,14,2016
Elise Elise,29,21,65%,10,19,34%,2.8,3.3,37:35:00,3.9,340,337,-6,-206,-190,2016
Caitlyn Caitlyn,34,15,64%,16,18,47%,3.2,2.7,38:30:00,9.3,511,408,5.7,69,70,2016
Jayce Jayce,26,21,61%,15,11,58%,2.8,3.8,36:01:00,8.5,571,400,12.2,574,182,2016
Ryze Ryze,19,27,60%,10,9,53%,4.6,3.8,35:37:00,9,453,409,2.4,77,128,2016
Lee Sin Lee Sin,37,8,58%,21,16,57%,3.8,2.3,39:55:00,3.8,256,344,-2.5,113,22,2016
Rumble Rumble,32,9,53%,16,16,50%,2.1,2.7,37:33:00,7.9,549,371,-2.7,-28,-80,2016
Ezreal Ezreal,32,7,51%,11,21,34%,3.4,3.7,38:27:00,8.6,704,396,-2.3,-13,66,2016
Poppy Poppy,29,9,49%,14,15,48%,3,3,41:30:00,7.5,372,355,-16.2,-353,-235,2016
Kennen Kennen,23,14,48%,12,11,52%,2.2,4.4,38:49:00,7.7,520,371,9.6,107,79,2016
RekSai RekSai,18,16,44%,8,10,44%,3.4,3.9,37:31:00,4.5,256,349,6.4,225,225,2016
Aurelion Sol Aurelion Sol,12,20,42%,8,4,67%,4.6,3.4,37:44:00,7.6,531,386,-8.1,8,-140,2016
Sivir Sivir,20,11,40%,10,10,50%,4.9,2.6,35:50:00,9.8,551,417,-5.5,-234,-241,2016
Gnar Gnar,18,12,39%,7,11,39%,2.3,2.5,37:09:00,7.8,429,365,0.3,-89,223,2016
Viktor Viktor,23,6,38%,13,10,57%,3.1,3.3,39:27:00,9.3,667,418,5.7,84,187,2016
Alistar Alistar,23,5,36%,15,8,65%,3.5,2.4,37:50:00,1,119,256,4.2,-136,-138,2016
Cassiopeia Cassiopeia,22,6,36%,8,14,36%,2.5,4.7,36:03:00,8.3,426,379,-3.4,-221,-389,2016
Vladimir Vladimir,15,12,35%,7,8,47%,4.4,3.8,38:25:00,7.9,538,366,-10.2,-239,-61,2016
Zyra Zyra,22,5,35%,14,8,64%,3,3.8,38:20:00,0.9,425,288,-2.5,183,-112,2016
Nami Nami,24,2,34%,10,14,42%,4.6,6,40:22:00,0.5,141,258,-6.1,102,166,2016
Tahm Kench Tahm Kench,11,12,30%,6,5,55%,3.1,2.5,39:22:00,1.3,192,271,4.8,-54,-183,2016
Bard Bard,12,5,22%,3,9,25%,1.8,3.6,35:00:00,0.6,189,250,-5,-290,396,2016
Braum Braum,16,0,21%,6,10,38%,2.8,-,36:39:00,1.2,146,248,6.7,16,-3,2016
Ashe Ashe,11,4,19%,7,4,64%,3.6,3.5,41:20:00,9.3,453,423,1.8,62,-135,2016
Lucian Lucian,13,1,18%,7,6,54%,4.2,6,38:24:00,9.1,547,415,8.5,274,207,2016
Malzahar Malzahar,11,3,18%,5,6,45%,2.9,5.3,38:24:00,7.8,561,375,-9.2,-442,-89,2016
Orianna Orianna,13,0,17%,5,8,38%,2.5,-,44:43:00,9.4,519,400,11.6,316,278,2016
Trundle Trundle,11,1,16%,6,5,55%,3.6,6,45:28:00,8.1,370,378,9.5,191,285,2016
Ekko Ekko,10,1,14%,5,5,50%,3.2,1,35:55:00,8.3,387,387,-8.5,-467,-86,2016
Brand Brand,1,8,12%,1,0,100%,7,1.4,40:24:00,0.8,551,315,-3,227,808,2016
Varus Varus,5,3,10%,3,2,60%,3.6,2.3,48:02:00,8.7,783,391,-11,-183,-348,2016
Zac Zac,4,4,10%,2,2,50%,3.7,4,44:04:00,4.4,397,348,-2.8,5,-158,2016
Graves Graves,7,0,9%,3,4,43%,3.2,-,33:44:00,5,382,358,5.6,-142,85,2016
Miss Fortune Miss Fortune,3,4,9%,3,0,100%,3.4,2.5,37:21:00,1.4,411,331,7,666,597,2016
Skarner Skarner,6,1,9%,4,2,67%,4.2,1,38:38:00,3.9,159,347,-9.7,-324,-346,2016
Irelia Irelia,5,1,8%,3,2,60%,1.7,6,35:14:00,8.1,351,396,-7.8,-258,-602,2016
Twisted Fate Twisted Fate,1,5,8%,0,1,0%,0.8,2,46:55:00,8,577,380,-3,715,350,2016
Jinx Jinx,5,0,6%,2,3,40%,4.1,-,37:41:00,9.5,493,404,-11.2,-479,-285,2016
Kassadin Kassadin,0,4,5%,,,,,1.8,,,,,,,,2016
Zilean Zilean,4,0,5%,1,3,25%,2,-,41:00:00,8.6,463,375,-5.8,-553,-165,2016
Hecarim Hecarim,3,0,4%,2,1,67%,6.3,-,34:44:00,4.1,271,340,5,-345,-405,2016
Lissandra Lissandra,3,0,4%,2,1,67%,2.6,-,36:41:00,8.7,391,400,-10.7,-298,-405,2016
