Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Kalista Kalista,0,80,100%,,,,,2.1,,,,,,,,2017
Jarvan IV Jarvan IV,42,37,99%,22,20,52%,3.4,4.2,35:21:00,4.5,217,323,0.5,70,64,2017
Sejuani Sejuani,44,35,99%,22,22,50%,4.2,4.7,36:50:00,4.1,223,325,0.3,90,166,2017
Janna Janna,44,32,95%,31,13,70%,9.3,3.8,36:31:00,0.7,67,332,0.8,320,221,2017
Lulu Lulu,47,28,94%,19,28,40%,4,3.4,36:35:00,0.7,95,300,-2,-135,-152,2017
Galio Galio,21,52,91%,14,7,67%,6.1,4.1,33:37:00,8.3,331,381,-1.4,41,55,2017
Xayah Xayah,25,44,86%,13,12,52%,5.9,4.3,36:11:00,10,671,436,0.6,134,171,2017
Chogath Chogath,41,21,78%,21,20,51%,2.8,8.6,37:41:00,7.8,366,359,-1.5,-196,10,2017
Tristana Tristana,45,16,76%,22,23,49%,3.7,4,35:11:00,10,672,432,0.2,31,83,2017
Gragas Gragas,36,22,73%,23,13,64%,3.2,5,36:14:00,3.8,203,314,-4.4,-195,-292,2017
Rakan Rakan,20,34,68%,11,9,55%,4,5,34:41:00,0.7,119,300,-2.4,37,-2,2017
Shen Shen,22,29,64%,11,11,50%,4.5,8.1,37:53:00,8.5,324,374,-5.7,-231,-43,2017
Syndra Syndra,23,28,64%,10,13,43%,3.1,8.1,36:54:00,9.4,562,397,9.8,128,110,2017
KogMaw KogMaw,27,22,61%,12,15,44%,2.9,4.9,36:54:00,9.4,705,417,-7.9,-416,-339,2017
Jayce Jayce,11,36,59%,7,4,64%,3.6,5.6,33:59:00,9.3,580,412,14.8,507,395,2017
Ryze Ryze,28,15,54%,9,19,32%,3.3,7.9,33:46:00,9.4,420,395,-0.8,32,-158,2017
Gnar Gnar,16,25,51%,12,4,75%,3.4,7.8,37:19:00,8.6,477,401,6.1,252,127,2017
Taliyah Taliyah,16,24,50%,9,7,56%,5,7.4,37:17:00,9.4,533,410,-5.6,-41,-79,2017
Maokai Maokai,26,6,40%,7,19,27%,1.7,8.7,33:32:00,7,340,324,-9.2,-297,-197,2017
Orianna Orianna,13,19,40%,6,7,46%,3.9,6.4,36:27:00,9.1,535,396,6.6,-304,16,2017
Twitch Twitch,22,9,39%,13,9,59%,4.7,6.4,35:49:00,9.5,609,425,-7,-253,47,2017
Cassiopeia Cassiopeia,9,20,36%,4,5,44%,3.7,7.7,34:58:00,9.1,423,385,1.4,-105,58,2017
Varus Varus,23,6,36%,10,13,43%,4,4.5,36:39:00,9.9,560,418,6.5,193,-103,2017
LeBlanc LeBlanc,4,23,34%,3,1,75%,8.3,7.6,33:41:00,8,548,406,-7.8,454,-177,2017
Ezreal Ezreal,6,16,28%,2,4,33%,3.3,3.1,35:42:00,4.6,455,334,-21.2,48,-66,2017
Trundle Trundle,11,11,28%,6,5,55%,5.8,8.7,36:56:00,8.7,331,387,8.3,347,-15,2017
Taric Taric,18,2,25%,7,11,39%,4.6,8,32:43:00,1,68,277,2.8,-383,-3,2017
Caitlyn Caitlyn,9,10,24%,6,3,67%,8,4.9,32:09:00,9.8,854,440,15.1,705,241,2017
Corki Corki,16,3,24%,7,9,44%,3.5,6.3,37:22:00,9.9,641,419,-3.2,83,-62,2017
RekSai RekSai,11,7,23%,4,7,36%,2.7,7.4,35:12:00,4.9,224,331,14.9,236,198,2017
Lucian Lucian,5,12,21%,1,4,20%,2.2,8.6,40:57:00,8.6,626,386,-2.4,189,-307,2017
Malzahar Malzahar,10,7,21%,9,1,90%,3.4,7.4,37:07:00,8.7,622,409,-9.4,-390,-153,2017
Rumble Rumble,7,8,19%,3,4,43%,2.7,7.4,31:26:00,7.5,537,348,-6.1,-116,-247,2017
Karma Karma,11,3,18%,3,8,27%,2,7,32:47:00,2.7,202,301,-0.4,-245,-223,2017
Kassadin Kassadin,4,10,18%,2,2,50%,2.9,8,30:47:00,9.2,527,403,11.2,174,352,2017
Renekton Renekton,3,6,11%,1,2,33%,2.6,7.2,33:52:00,8.5,465,417,18,1229,652,2017
KhaZix KhaZix,3,4,9%,3,0,100%,4,7.3,36:08:00,5.1,371,373,7.3,-211,20,2017
Thresh Thresh,3,4,9%,1,2,33%,4.8,7.3,41:00:00,0.8,77,266,-1,-176,106,2017
Blitzcrank Blitzcrank,3,3,8%,1,2,33%,2.1,1.7,34:58:00,1,167,262,0.3,136,-117,2017
Kennen Kennen,4,1,6%,2,2,50%,2.2,9,35:23:00,8.3,479,373,21,549,382,2017
Soraka Soraka,4,1,6%,3,1,75%,2.9,10,40:17:00,0.6,115,285,6.2,-95,-275,2017
Vayne Vayne,4,1,6%,2,2,50%,8,7,33:46:00,9.9,548,462,-0.2,-469,164,2017
Zac Zac,4,1,6%,1,3,25%,1.6,9,36:00:00,3.8,175,296,-6.5,-104,96,2017
Ivern Ivern,2,3,6%,1,1,50%,3.2,5.3,34:09:00,2.7,142,315,-11.5,149,767,2017
Alistar Alistar,2,2,5%,0,2,0%,1.2,4.5,32:33:00,0.8,120,235,-28,-344,-234,2017
Elise Elise,2,2,5%,1,1,50%,4.3,9,33:41:00,4.5,251,333,-18.5,-975,-1488,2017
Fizz Fizz,4,0,5%,3,1,75%,5.2,-,35:02:00,7.8,360,367,-16.8,-182,306,2017
Lee Sin Lee Sin,4,0,5%,2,2,50%,2.2,-,39:09:00,3.6,130,312,4,-147,-171,2017
Leona Leona,3,1,5%,2,1,67%,4.6,7,37:15:00,1.5,132,293,16,363,669,2017
Nidalee Nidalee,1,3,5%,0,1,0%,1,8.7,38:45:00,5.7,244,322,-10,214,-495,2017
