Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Lee Sin Lee Sin,37,45,99%,22,15,59%,4.4,4,35:37:00,5.4,256,336,-2.2,-111,-18,2021
Twisted Fate Twisted Fate,24,56,96%,13,11,54%,5.4,4.1,34:38:00,8,411,406,-3.7,483,-157,2021
Yuumi Yuumi,15,65,96%,8,7,53%,7.8,3.7,32:04:00,0.3,323,243,-13.2,108,-19,2021
LeBlanc LeBlanc,23,51,89%,13,10,57%,4.9,3.5,34:43:00,8.4,573,395,8.2,-11,326,2021
Graves Graves,36,29,78%,21,15,58%,2.9,5,32:46:00,9.4,473,429,8.4,262,256,2021
Lucian Lucian,20,45,78%,12,8,60%,3.4,3.7,36:02:00,9.4,528,428,9.4,342,387,2021
Aphelios Aphelios,31,34,78%,19,12,61%,3.8,3.9,33:26:00,9.3,444,434,7.5,338,11,2021
Jarvan IV Jarvan IV,31,33,77%,14,17,45%,3.3,5.8,34:35:00,5.1,241,318,-1,0,-18,2021
Miss Fortune Miss Fortune,51,10,73%,22,29,43%,3.6,6.2,35:09:00,9.3,429,422,1.3,36,0,2021
Ryze Ryze,24,32,67%,11,13,46%,3.1,5.3,33:29:00,8.9,349,405,0.2,-23,-154,2021
Xin Zhao Xin Zhao,30,25,66%,10,20,33%,2,7.2,34:03:00,5,276,304,-2.7,-118,-188,2021
Irelia Irelia,9,45,65%,2,7,22%,1.3,3.4,33:41:00,8.9,277,405,-4.4,-763,-436,2021
Leona Leona,32,22,65%,11,21,34%,2.2,7.2,33:32:00,1.2,94,222,2.1,-76,51,2021
Kennen Kennen,22,29,61%,16,6,73%,3.3,7.7,37:07:00,7.6,510,396,-8.3,-167,-61,2021
Jayce Jayce,23,23,55%,10,13,43%,2.3,6.4,33:55:00,8.7,626,414,11.5,648,-13,2021
Rakan Rakan,29,16,54%,18,11,62%,4.4,7.9,35:15:00,1.2,130,237,0.8,31,19,2021
Nami Nami,13,20,40%,7,6,54%,4.9,4.5,35:26:00,0.5,184,233,-5.2,61,97,2021
Thresh Thresh,12,18,36%,7,5,58%,4.3,8.2,33:43:00,1,101,233,-0.7,-98,-128,2021
Jhin Jhin,28,2,36%,18,10,64%,8.4,6.5,33:22:00,8.9,384,414,-7.5,-175,-19,2021
Viego Viego,18,7,30%,10,8,56%,5,6.1,35:57:00,5.6,286,343,10.1,197,376,2021
Syndra Syndra,15,9,29%,10,5,67%,5.6,5,35:52:00,8.4,515,402,4.1,382,-202,2021
Sylas Sylas,16,8,29%,8,8,50%,2.6,6.1,35:39:00,8.1,404,389,-5.4,-553,-99,2021
Talon Talon,12,11,28%,7,5,58%,3.8,7.6,31:04:00,6.1,338,355,0.8,258,78,2021
Gwen Gwen,14,9,28%,4,10,29%,2.1,6.8,32:32:00,8.8,415,394,2.9,-235,135,2021
Draven Draven,4,18,27%,1,3,25%,2.8,6.1,34:32:00,9.2,317,427,3.2,308,107,2021
Azir Azir,10,12,27%,4,6,40%,2.4,7.8,35:08:00,8.4,523,390,13,285,368,2021
Zoe Zoe,14,8,27%,9,5,64%,5.1,6.5,33:24:00,7.9,501,370,0.6,463,364,2021
Olaf Olaf,8,12,24%,3,5,38%,3.1,7.6,38:44:00,5.7,397,338,-0.4,420,216,2021
Ezreal Ezreal,11,8,23%,6,5,55%,4.1,8,32:05:00,8.9,570,415,-12.3,-433,-346,2021
Lulu Lulu,16,3,23%,9,7,56%,3.8,7.7,33:53:00,0.5,105,235,-3.4,194,-79,2021
Braum Braum,11,8,23%,4,7,36%,2,8.5,33:11:00,1.1,156,220,1.8,-108,-135,2021
Qiyana Qiyana,10,9,23%,7,3,70%,4.1,6.6,34:44:00,6.2,363,359,-0.3,278,-61,2021
Renekton Renekton,12,4,19%,6,6,50%,2.2,6,32:09:00,8.7,324,380,-0.6,-160,-134,2021
Camille Camille,7,9,19%,4,3,57%,2.2,6,34:15:00,7.6,341,382,-18.3,-475,-167,2021
