Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Year
369, CN,TOP,13,61.50%,2.9,2.2,2.6,5.5,8,375,67.10%,23.9,487,0.9,0.32,0.17,0.12,-313,-5,-177,15.40%,23.10%,0,2,2023
Adam, FR,TOP,4,0%,0.9,1.8,3.3,1.3,7.8,373,53.10%,21.3,278,0.81,0.37,0.1,0.1,-258,-12,-877,25%,25%,0,-,2023
Bin, CN,TOP,18,50%,2.6,3.1,2.6,3.5,8,385,45.90%,21.1,455,0.93,0.4,0.12,0.18,-197,-1,-270,16.70%,5.60%,0,6,2023
Brokenblade, DE,TOP,9,33.30%,2,1.6,3.2,5,7.7,358,60.30%,20.3,464,1.05,0.5,0.17,0.16,-519,-15,-433,0%,22.20%,0,1,2023
Canna, KR,TOP,8,50%,3.1,2.1,2.4,5.1,8.5,386,61.90%,23.7,554,1.07,0.45,0.17,0.19,178,5,321,12.50%,12.50%,0,2,2023
Chasy, KR,TOP,5,20%,2.3,3,3.2,4.4,7.4,380,55.90%,22,443,0.9,0.38,0.14,0.17,123,-10,-359,20%,0%,0,1,2023
Dhokla, US,TOP,8,50%,3.5,3,2.4,5.3,8.1,386,57.50%,23.8,516,1.12,0.42,0.19,0.15,-340,-4,-22,12.50%,0%,0,1,2023
Doran, KR,TOP,9,66.70%,3.7,2.6,2.3,6,8.2,402,54.60%,25,555,1.04,0.39,0.16,0.18,67,-2,103,22.20%,11.10%,0,2,2023
Fudge, AU,TOP,6,33.30%,2.1,3,3.3,3.8,8.2,397,44.80%,24.8,480,0.94,0.43,0.11,0.15,557,6,257,33.30%,33.30%,0,3,2023
Kiaya, VN,TOP,7,28.60%,1.5,2.1,3.7,3.3,7.5,352,68.40%,29.3,503,1.04,0.46,0.14,0.19,125,-1,-148,14.30%,14.30%,0,4,2023
Kiin, KR,TOP,12,50%,2.4,1.9,3,5.3,8.2,380,52.10%,25.2,512,1.12,0.42,0.18,0.19,196,2,161,8.30%,16.70%,0,-,2023
Oscarinin, ES,TOP,9,44.40%,1.6,2.8,3.8,3.3,7.9,386,46.30%,21.7,490,0.92,0.42,0.15,0.14,-384,-3,-270,11.10%,33.30%,0,3,2023
Summit, KR,TOP,5,20%,1.2,1.2,3.2,2.6,8.1,366,41.10%,20.6,349,1.14,0.4,0.22,0.19,-565,-7,-213,0%,40%,0,2,2023
TheShy, KR,TOP,19,57.90%,2.1,2.8,3.4,4.3,8,389,54.70%,26.7,594,1.02,0.34,0.19,0.17,496,9,426,5.30%,21.10%,0,7,2023
Zeus, KR,TOP,15,86.70%,5,3.9,1.5,3.7,9.4,451,51.90%,28.9,632,1.04,0.39,0.16,0.19,481,13,596,33.30%,6.70%,0,8,2023
Zika, CN,TOP,11,45.50%,2,1.5,2.1,2.7,8.9,388,50.90%,25.4,437,1.09,0.43,0.2,0.17,-320,-5,-266,27.30%,9.10%,0,1,2023
