match_id,Winner,Blue Picks,Red Picks
1,Red,"Kennen,Bel'Veth,Azir,Varus,Bard","Aatrox,Lee Sin,Akali,Xayah,Rakan"
2,Red,"Aatrox,Maokai,Ahri,Kalista,Senna","Gwen,Nocturne,Sylas,Draven,Renata Glasc"
3,Red,"Aatrox,Maokai,Jayce,Senna,Tahm Kench","Yone,Lee Sin,Ahri,Kalista,Renata Glasc"
4,Red,"Aatrox,Bel'Veth,Orianna,Zeri,Lulu","Yone,Jarvan IV,Azir,Varus,Bard"
5,Blue,"Aatrox,Rell,Azir,Kalista,Renata Glasc","Renekton,Wukong,Taliyah,Varus,Ashe"
6,Blue,"K'Sante,Vi,Orianna,Kalista,Senna","Aatrox,Maokai,Azir,Caitlyn,Ashe"
7,Blue,"Aatrox,Rell,Orianna,Jhin,Bard","Rumble,Vi,Akali,Xayah,Alistar"
8,Blue,"Ornn,Maokai,Azir,Kalista,Renata Glasc","K'Sante,Sejuani,Jayce,Caitlyn,Lux"
9,Blue,"Jax,Sejuani,Orianna,Aphelios,Bard","Quinn,Rell,Syndra,Ashe,Heimerdinger"
10,Blue,"Graves,Poppy,Syndra,Varus,Ashe","Aatrox,Vi,Akali,Kalista,Caitlyn"
11,Blue,"Jax,Vi,Sylas,Varus,Ashe","Aatrox,Maokai,Azir,Caitlyn,Lux"
12,Blue,"Rumble,Bel'Veth,Neeko,Aphelios,Milio","Aatrox,Vi,Syndra,Xayah,Rell"
13,Red,"Renekton,Sejuani,Orianna,Aphelios,Milio","Jayce,Poppy,Azir,Varus,Renata Glasc"
14,Red,"Gwen,Maokai,Jayce,Aphelios,Rakan","Aatrox,Rell,Sylas,Varus,Ashe"
15,Red,"Gwen,Jarvan IV,Azir,Kai'Sa,Blitzcrank","Aatrox,Rell,Orianna,Nilah,Senna"
16,Red,"Jax,Vi,Syndra,Xayah,Lulu","Gragas,Lee Sin,Orianna,Kai'Sa,Rakan"
17,Red,"Jax,Rell,Azir,Xayah,Nautilus","Aatrox,Wukong,Orianna,Sivir,Rakan"
18,Blue,"Aatrox,Vi,Neeko,Jinx,Rakan","Renekton,Viego,Orianna,Aphelios,Renata Glasc"
19,Red,"Renekton,Rell,Orianna,Zeri,Rakan","Jax,Sejuani,Akali,Aphelios,Lulu"
20,Blue,"Rumble,Jarvan IV,Orianna,Senna,Tahm Kench","Gnar,Vi,Akali,Kai'Sa,Rell"
21,Red,"K'Sante,Jarvan IV,Neeko,Ashe,Tahm Kench","Rumble,Vi,Akali,Kalista,Rell"
22,Blue,"Aatrox,Maokai,Yone,Kai'Sa,Nautilus","Renekton,Jarvan IV,Orianna,Caitlyn,Braum"
23,Blue,"Rumble,Jarvan IV,Orianna,Xayah,Renata Glasc","Aatrox,Maokai,Azir,Aphelios,Milio"
24,Red,"Jax,Rell,Azir,Aphelios,Tahm Kench","Aatrox,Jarvan IV,Orianna,Kalista,Renata Glasc"
25,Red,"Rumble,Sejuani,Yone,Ezreal,Karma","Gnar,Maokai,Jayce,Caitlyn,Heimerdinger"
26,Red,"K'Sante,Vi,Orianna,Kai'Sa,Alistar","Aatrox,Rell,Neeko,Aphelios,Milio"
27,Red,"Renekton,Viego,Orianna,Senna,Tahm Kench","K'Sante,Rell,Neeko,Aphelios,Milio"
28,Blue,"Renekton,Jarvan IV,Orianna,Ashe,Braum","Gnar,Maokai,Azir,Kai'Sa,Bard"
29,Blue,"Olaf,Nocturne,Neeko,Kai'Sa,Lissandra","Renekton,Maokai,Jayce,Zeri,Rakan"
30,Red,"Poppy,Maokai,Jayce,Kog'Maw,Braum","Jax,Sejuani,Taliyah,Xayah,Milio"
31,Red,"Olaf,Sejuani,Sylas,Aphelios,Alistar","K'Sante,Maokai,Azir,Caitlyn,Lux"
32,Blue,"Gnar,Maokai,Taliyah,Aphelios,Renata Glasc","K'Sante,Lee Sin,Syndra,Kalista,Rell"
33,Blue,"K'Sante,Sejuani,Orianna,Aphelios,Milio","Aatrox,Poppy,Sylas,Zeri,Renata Glasc"
34,Red,"Renekton,Jarvan IV,Ahri,Aphelios,Alistar","Gnar,Viego,Neeko,Zeri,Nautilus"
35,Blue,"Ryze,Viego,Azir,Zeri,Nautilus","Rumble,Jarvan IV,Neeko,Aphelios,Rell"
36,Red,"Jax,Vi,Syndra,Xayah,Alistar","Gragas,Jarvan IV,Orianna,Jinx,Tahm Kench"
37,Blue,"Gnar,Jarvan IV,Azir,Senna,Tahm Kench","Renekton,Nidalee,Orianna,Kai'Sa,Rell"
38,Red,"Ornn,Poppy,Azir,Xayah,Nautilus","Rumble,Jarvan IV,Taliyah,Sivir,Rakan"
39,Blue,"K'Sante,Vi,Neeko,Senna,Tahm Kench","Jax,Bel'Veth,Syndra,Kai'Sa,Rell"
40,Blue,"Renekton,Wukong,Orianna,Kai'Sa,Rakan","Ornn,Vi,Azir,Aphelios,Alistar"
41,Blue,"Renekton,Sejuani,Taliyah,Kai'Sa,Nautilus","Jax,Jarvan IV,Azir,Sivir,Leona"
42,Red,"K'Sante,Maokai,Jayce,Jinx,Alistar","Jax,Jarvan IV,Neeko,Aphelios,Renata Glasc"
43,Red,"K'Sante,Nocturne,Akali,Kai'Sa,Nautilus","Rumble,Lee Sin,Ahri,Sivir,Rell"
44,Blue,"K'Sante,Lee Sin,Sylas,Kai'Sa,Rell","Rumble,Jarvan IV,Orianna,Zeri,Rakan"
45,Red,"K'Sante,Vi,Ahri,Kalista,Soraka","Aatrox,Rell,Neeko,Aphelios,Renata Glasc"
46,Red,"K'Sante,Vi,Sylas,Ashe,Alistar","Aatrox,Rell,Ahri,Kalista,Renata Glasc"
47,Red,"Jax,Sejuani,LeBlanc,Xayah,Alistar","Rumble,Jarvan IV,Sylas,Aphelios,Rell"
48,Blue,"Jax,Jarvan IV,Syndra,Zeri,Rakan","Renekton,Taliyah,K'Sante,Kai'Sa,Rell"
49,Blue,"Rumble,Jarvan IV,Yone,Xayah,Nautilus","Jax,Lee Sin,Orianna,Ezreal,Rakan"
50,Red,"Olaf,Wukong,Neeko,Kai'Sa,Rakan","Rumble,Lee Sin,Azir,Aphelios,Alistar"
51,Red,"Gnar,Jarvan IV,Taliyah,Aphelios,Rell","Darius,Maokai,Tristana,Zeri,Alistar"
52,Red,"Jax,Maokai,Jayce,Aphelios,Alistar","Garen,Ivern,Cassiopeia,Kai'Sa,Nautilus"
53,Blue,"Olaf,Maokai,Azir,Kai'Sa,Alistar","Gnar,Jarvan IV,Sylas,Caitlyn,Rell"
54,Red,"Renekton,Taliyah,Syndra,Kalista,Nautilus","Jax,Poppy,Akali,Kai'Sa,Rell"
55,Blue,"Kennen,Maokai,Jayce,Kai'Sa,Alistar","Sion,Sejuani,Azir,Zeri,Rakan"
56,Blue,"Renekton,Wukong,Orianna,Kai'Sa,Sett","Malphite,Lee Sin,Syndra,Kalista,Nautilus"
57,Blue,"Jax,Sejuani,Jayce,Xayah,Nautilus","Renekton,Jarvan IV,Taliyah,Kai'Sa,Rell"
58,Red,"Jax,Lee Sin,Viktor,Xayah,Leona","K'Sante,Viego,Taliyah,Kai'Sa,Rell"
59,Blue,"Renekton,Viego,Syndra,Xayah,Rakan","K'Sante,Lee Sin,Orianna,Kai'Sa,Nautilus"
60,Red,"Aatrox,Sejuani,Sylas,Kai'Sa,Alistar","Renekton,Maokai,Azir,Kalista,Taric"
61,Red,"Aatrox,Maokai,Jayce,Kai'Sa,Rell","Sett,Sejuani,Azir,Xayah,Alistar"
62,Red,"Olaf,Jarvan IV,Taliyah,Kai'Sa,Rakan","Gnar,Wukong,Syndra,Xayah,Rell"
63,Red,"Aatrox,Lee Sin,Ahri,Xayah,Nautilus","K'Sante,Nocturne,Viktor,Kai'Sa,Rakan"
64,Blue,"Jax,Vi,Cassiopeia,Xayah,Rakan","Poppy,Ivern,Tristana,Kai'Sa,Blitzcrank"
65,Red,"Aatrox,Maokai,Syndra,Kai'Sa,Alistar","Renekton,Ivern,Jayce,Xayah,Braum"
66,Red,"K'Sante,Lee Sin,Ahri,Kai'Sa,Rakan","Jax,Vi,Syndra,Xayah,Rell"
67,Red,"Gwen,Jarvan IV,Sylas,Kai'Sa,Rell","K'Sante,Wukong,Syndra,Xayah,Rakan"
68,Red,"Renekton,Vi,Azir,Xayah,Rell","Aatrox,Jarvan IV,Orianna,Kai'Sa,Nautilus"
69,Blue,"K'Sante,Jarvan IV,Neeko,Xayah,Rakan","Gwen,Lee Sin,Ahri,Kai'Sa,Blitzcrank"
70,Red,"Gnar,Sejuani,Orianna,Kalista,Rell","Renekton,Lee Sin,Ahri,Aphelios,Alistar"
71,Red,"Malphite,Kha'Zix,Neeko,Sivir,Alistar","Kennen,Viego,LeBlanc,Kai'Sa,Rell"
72,Blue,"Gnar,Jarvan IV,Neeko,Xayah,Rell","Renekton,Sejuani,Taliyah,Sivir,Rakan"
73,Blue,"K'Sante,Lee Sin,LeBlanc,Xayah,Nautilus","Renekton,Gragas,Syndra,Ezreal,Rakan"
74,Red,"Renekton,Rell,Taliyah,Ezreal,Braum","K'Sante,Viego,Syndra,Kai'Sa,Nautilus"
75,Blue,"Darius,Rell,Syndra,Ezreal,Alistar","Renekton,Viego,Neeko,Kai'Sa,Rakan"
76,Blue,"Rumble,Maokai,Jayce,Kai'Sa,Blitzcrank","Aatrox,Jarvan IV,Akali,Xayah,Rakan"
77,Red,"Aatrox,Vi,Ahri,Senna,Maokai","Rumble,Sejuani,Jayce,Draven,Nautilus"
78,Red,"Renekton,Lee Sin,Ahri,Kai'Sa,Rell","K'Sante,Nocturne,Orianna,Xayah,Rakan"
79,Blue,"Renekton,Viego,Neeko,Kai'Sa,Rakan","Rumble,Jarvan IV,Orianna,Xayah,Nautilus"
80,Blue,"Rumble,Maokai,Jayce,Aphelios,Rakan","K'Sante,Sejuani,Orianna,Xayah,Nautilus"
81,Blue,"Kennen,Jarvan IV,Neeko,Xayah,Rakan","Renekton,Viego,Taliyah,Ezreal,Nautilus"
82,Blue,"Jax,Sejuani,Akali,Xayah,Leona","Vladimir,Wukong,Ahri,Zeri,Rakan"
83,Red,"Ornn,Wukong,Annie,Aphelios,Blitzcrank","Gwen,Maokai,Tristana,Varus,Rell"
84,Blue,"Renekton,Maokai,Tristana,Kai'Sa,Nautilus","Jax,Sejuani,Aurelion Sol,Xayah,Renata Glasc"
85,Blue,"K'Sante,Kindred,LeBlanc,Jinx,Nautilus","Gnar,Kha'Zix,Neeko,Aphelios,Rell"
86,Red,"Renekton,Sejuani,Irelia,Kai'Sa,Rakan","Ornn,Maokai,Jayce,Varus,Alistar"
87,Blue,"Rumble,Bel'Veth,Syndra,Lucian,Blitzcrank","Kled,Wukong,Annie,Nilah,Alistar"
88,Red,"Ornn,Maokai,Azir,Samira,Rell","Renekton,Lillia,Jayce,Kai'Sa,Alistar"
89,Red,"Gragas,Xin Zhao,K'Sante,Jinx,Tahm Kench","Jax,Wukong,Akali,Aphelios,Nautilus"
90,Red,"Vladimir,Nocturne,Neeko,Jinx,Alistar","Kennen,Vi,Zed,Aphelios,Rell"
91,Red,"Renekton,Diana,Sylas,Xayah,Rakan","K'Sante,Sejuani,Yone,Kai'Sa,Rell"
92,Blue,"K'Sante,Bel'Veth,Neeko,Xayah,Rakan","Gnar,Lee Sin,Annie,Kai'Sa,Rell"
93,Red,"Renekton,Wukong,Ahri,Lucian,Braum","Gnar,Sejuani,Tristana,Kai'Sa,Rell"
94,Red,"Gnar,Wukong,Annie,Kai'Sa,Rakan","Renekton,Taliyah,Sion,Aphelios,Rell"
95,Red,"Rumble,Nocturne,LeBlanc,Aphelios,Rell","Vladimir,Sejuani,Tristana,Xayah,Alistar"
96,Red,"Fiora,Maokai,Ahri,Kai'Sa,Nautilus","Ornn,Wukong,Annie,Aphelios,Braum"
97,Blue,"Gnar,Maokai,Tristana,Kai'Sa,Rakan","K'Sante,Wukong,Sylas,Xayah,Rell"
98,Red,"K'Sante,Viego,LeBlanc,Kai'Sa,Rakan","Jax,Sejuani,Neeko,Ashe,Milio"
99,Blue,"Ornn,Kha'Zix,Tristana,Kai'Sa,Alistar","Renekton,Bel'Veth,Annie,Varus,Rell"
100,Blue,"Renekton,Kha'Zix,Annie,Xayah,Rakan","Gragas,Viego,Azir,Varus,Blitzcrank"
101,Blue,"Rumble,Maokai,Jayce,Ashe,Rell","K'Sante,Rengar,Ivern,Jinx,Nautilus"
102,Blue,"Jax,Poppy,Syndra,Kai'Sa,Blitzcrank","Renekton,Nocturne,Ahri,Xayah,Rakan"
103,Blue,"Renekton,Sejuani,Tristana,Xayah,Nautilus","Jax,Maokai,Syndra,Aphelios,Alistar"
104,Red,"K'Sante,Sejuani,Azir,Xayah,Rakan","Ornn,Vi,Ahri,Aphelios,Rell"
105,Red,"Gnar,Viego,Annie,Jinx,Rell","Rumble,Wukong,Ahri,Aphelios,Alistar"
106,Blue,"Renekton,Maokai,Jayce,Ezreal,Karma","Ornn,Ivern,Tristana,Ashe,Heimerdinger"
107,Blue,"Renekton,Sejuani,Orianna,Kai'Sa,Rakan","Jax,Ivern,Tristana,Ziggs,Rell"
108,Blue,"Camille,Poppy,Akali,Kai'Sa,Rell","Gnar,Sejuani,Ahri,Xayah,Rakan"
109,Red,"Gragas,Vi,Tristana,Draven,Rell","Ornn,Maokai,Jayce,Ezreal,Braum"
110,Blue,"Kennen,Wukong,LeBlanc,Lucian,Alistar","Malphite,Nocturne,Neeko,Kalista,Nautilus"
111,Blue,"Renekton,Vi,Ahri,Zeri,Rakan","K'Sante,Diana,Yasuo,Aphelios,Tahm Kench"
112,Blue,"Rumble,Xin Zhao,Akali,Xayah,Rakan","K'Sante,Wukong,Galio,Kai'Sa,Rell"
113,Blue,"K'Sante,Maokai,Tristana,Varus,Nautilus","Renekton,Lee Sin,Lissandra,Lucian,Braum"
114,Red,"Kennen,Viego,Annie,Jinx,Nautilus","Jax,Sejuani,Sylas,Aphelios,Rakan"
115,Red,"Ornn,Viego,Neeko,Kai'Sa,Alistar","K'Sante,Wukong,Ahri,Xayah,Rell"
116,Blue,"Poppy,Viego,Azir,Ziggs,Nautilus","K'Sante,Nocturne,Akali,Aphelios,Leona"
